      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
  4207428       0       0      13124  ?              0   Sep  9 C:\Program Files\Git\usr\lib\gnupg\scdaemon.exe
  4220304       0       0      26000  ?              0   Sep 10 C:\Program Files\Microsoft OneDrive\OneDrive.exe
  4204836       0       0      10532  ?              0   Sep 10 C:\Program Files\Microsoft OneDrive\26.158.0816.0003\OneDrive.Sync.Service.exe
  4221912       0       0      27608  ?              0   Sep  4 C:\Program Files\WindowsApps\Microsoft.MixedRealityLink_26.9070.8271.0_arm64__8wekyb3d8bbwe\Platform\MixedRealityLinkSvc.exe
  4210968       0       0      16664  ?              0   Sep 10 C:\Windows\System32\SystemUWPLauncher.exe
  4200800       0       0       6496  ?              0   Sep 10 C:\Program Files\WindowsApps\Microsoft.MixedRealityLink_26.9070.8271.0_arm64__8wekyb3d8bbwe\Platform\MixedRealityPairingHelper.exe
  4199940       0       0       5636  ?              0   Sep 10 C:\Windows\System32\RuntimeBroker.exe
  4197552       0       0       3248  ?              0 14:56:25 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4201020       0       0       6716  ?              0 14:56:25 C:\Windows\System32\conhost.exe
  4215344       0       0      21040  ?              0 19:09:29 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4212148       0       0      17844  ?              0 19:09:29 C:\Windows\System32\conhost.exe
  4210612       0       0      16308  ?              0 20:13:45 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4210060       0       0      15756  ?              0 20:13:46 C:\Windows\System32\conhost.exe
  4215708       0       0      21404  ?              0 20:14:19 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4207172       0       0      12868  ?              0 20:14:19 C:\Windows\System32\conhost.exe
  4222100       0       0      27796  ?              0 20:17:44 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4219304       0       0      25000  ?              0 20:17:44 C:\Windows\System32\conhost.exe
  4210520       0       0      16216  ?              0 22:38:59 C:\Windows\System32\PickerHost.exe
  4200344       0       0       6040  ?              0 23:36:41 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4202828       0       0       8524  ?              0 23:36:41 C:\Windows\System32\conhost.exe
  4220224       0       0      25920  ?              0 23:39:36 C:\Users\crutkasLocal\AppData\Local\github-copilot-sdk\cli\1.0.83\copilot.exe
  4212132       0       0      17828  ?              0 23:39:36 C:\Windows\System32\conhost.exe
